director,genre,metascore,runtime,strarring,summary,title,url,userscore,year
,,,,"<a href=""/person/akim-tamiroff"">Akim Tamiroff</a>,<a href=""/person/charlton-heston"">Charlton Heston</a>,<a href=""/person/dennis-weaver"">Dennis Weaver</a>,<a href=""/person/janet-leigh"">Janet Leigh</a>,<a href=""/person/joanna-moore"">Joanna Moore</a>,<a href=""/person/joseph-calleia"">Joseph Calleia</a>,<a href=""/person/mort-mills"">Mort Mills</a>,<a href=""/person/orson-welles"">Orson Welles</a>,<a href=""/person/ray-collins"">Ray Collins</a>,<a href=""/person/valentin-de-vargas"">Valentin de Vargas</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_549144""><span class=""blurb blurb_collapsed"">This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable</span><span class=""blurb blurb_expanded"">This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable supporting cast including Janet Leigh as Heston's inquisitive wife, Akim Tamiroff as a seedy underworld leader, Zsa Zsa Gabor and Marlene Dietrich as an enigmatic gypsy complete this fascinating drama engulfed in haunting cinematography and a magnificently eerie score by Henry Mancini.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Touch of Evil</h1>,,,"<span class=""release_year lighter"">1958</span>"
,,,,"<a href=""/person/adam-williams"">Adam Williams</a>,<a href=""/person/cary-grant"">Cary Grant</a>,<a href=""/person/edward-platt"">Edward Platt</a>,<a href=""/person/eva-marie-saint"">Eva Marie Saint</a>,<a href=""/person/james-mason"">James Mason</a>,<a href=""/person/jessie-royce-landis"">Jessie Royce Landis</a>,<a href=""/person/josephine-hutchinson"">Josephine Hutchinson</a>,<a href=""/person/leo-g-carroll"">Leo G. Carroll</a>,<a href=""/person/martin-landau"">Martin Landau</a>,<a href=""/person/philip-ober"">Philip Ober</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.</span>
                                </span>
                            </div>",<h1>North by Northwest</h1>,,,"<span class=""release_year lighter"">1959</span>"
,,,,"<a href=""/person/cyd-charisse"">Cyd Charisse</a>,<a href=""/person/dawn-addams"">Dawn Addams</a>,<a href=""/person/debbie-reynolds"">Debbie Reynolds</a>,<a href=""/person/donald-oconnor"">Donald O'Connor</a>,<a href=""/person/douglas-fowley"">Douglas Fowley</a>,<a href=""/person/gene-kelly"">Gene Kelly</a>,<a href=""/person/jean-hagen"">Jean Hagen</a>,<a href=""/person/john-albright"">John Albright</a>,<a href=""/person/millard-mitchell"">Millard Mitchell</a>,<a href=""/person/rita-moreno"">Rita Moreno</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A silent film production company and cast make a difficult transition to sound.</span>
                                </span>
                            </div>",<h1>Singin' in the Rain</h1>,,,"<span class=""release_year lighter"">1952</span>"
,,,,"<a href=""/person/alfonso-bedoya"">Alfonso Bedoya</a>,<a href=""/person/arturo-soto-rangel"">Arturo Soto Rangel</a>,<a href=""/person/barton-maclane"">Barton MacLane</a>,<a href=""/person/bruce-bennett"">Bruce Bennett</a>,<a href=""/person/humphrey-bogart"">Humphrey Bogart</a>,<a href=""/person/jose-torvay"">José Torvay</a>,<a href=""/person/manuel-donde"">Manuel Dondé</a>,<a href=""/person/margarito-luna"">Margarito Luna</a>,<a href=""/person/tim-holt"">Tim Holt</a>,<a href=""/person/walter-huston"">Walter Huston</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.</span>
                                </span>
                            </div>",<h1>The Treasure of the Sierra Madre</h1>,,,"<span class=""release_year lighter"">1948</span>"
,,,,"<a href=""/person/alex-r-hibbert"">Alex R. Hibbert</a>,<a href=""/person/ashton-sanders"">Ashton Sanders</a>,<a href=""/person/duan-sanderson"">Duan Sanderson</a>,<a href=""/person/herman-caheei-mcgloun"">Herman 'Caheei McGloun</a>,<a href=""/person/jaden-piner"">Jaden Piner</a>,<a href=""/person/janelle-monae"">Janelle Monáe</a>,<a href=""/person/mahershala-ali"">Mahershala Ali</a>,<a href=""/person/naomie-harris"">Naomie Harris</a>,<a href=""/person/shariff-earp"">Shariff Earp</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.</span>
                                </span>
                            </div>",<h1>Moonlight</h1>,,,"<span class=""release_year lighter"">2016</span>"
,,,,"<a href=""/person/charles-judels"">Charles Judels</a>,<a href=""/person/cliff-edwards"">Cliff Edwards</a>,<a href=""/person/dickie-jones"">Dickie Jones</a>,<a href=""/person/don-brodie"">Don Brodie</a>,<a href=""/person/frankie-darro"">Frankie Darro</a>,<a href=""/person/marion-darlington"">Marion Darlington</a>,<a href=""/person/mel-blanc"">Mel Blanc</a>,<a href=""/person/stuart-buchanan"">Stuart Buchanan</a>,<a href=""/person/walter-catlett"">Walter Catlett</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.</span>
                                </span>
                            </div>",<h1>Pinocchio</h1>,,,"<span class=""release_year lighter"">1940</span>"
,,,,"<a href=""/person/alexis-minotis"">Alexis Minotis</a>,<a href=""/person/cary-grant"">Cary Grant</a>,<a href=""/person/claude-rains"">Claude Rains</a>,<a href=""/person/ingrid-bergman"">Ingrid Bergman</a>,<a href=""/person/ivan-triesault"">Ivan Triesault</a>,<a href=""/person/leopoldine-konstantin"">Leopoldine Konstantin</a>,<a href=""/person/louis-calhern"">Louis Calhern</a>,<a href=""/person/moroni-olsen"">Moroni Olsen</a>,<a href=""/person/reinhold-schunzel"">Reinhold Schünzel</a>,<a href=""/person/wally-brown"">Wally Brown</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?</span>
                                </span>
                            </div>",<h1>Notorious</h1>,,,"<span class=""release_year lighter"">1946</span>"
,,,,"<a href=""/person/ircne-jacob"">Irène Jacob</a>,<a href=""/person/jean-louis-trintignant"">Jean-Louis Trintignant</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_545507""><span class=""blurb blurb_collapsed"">Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a</span><span class=""blurb blurb_expanded"">Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. Red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [Criterion]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Three Colors: Red</h1>,,,"<span class=""release_year lighter"">1994</span>"
,,,,"<a href=""/person/frank-cady"">Frank Cady</a>,<a href=""/person/georgine-darcy"">Georgine Darcy</a>,<a href=""/person/grace-kelly"">Grace Kelly</a>,<a href=""/person/james-stewart"">James Stewart</a>,<a href=""/person/judith-evelyn"">Judith Evelyn</a>,<a href=""/person/raymond-burr"">Raymond Burr</a>,<a href=""/person/ross-bagdasarian"">Ross Bagdasarian</a>,<a href=""/person/sara-berner"">Sara Berner</a>,<a href=""/person/thelma-ritter"">Thelma Ritter</a>,<a href=""/person/wendell-corey"">Wendell Corey</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.</span>
                                </span>
                            </div>",<h1>Rear Window</h1>,,,"<span class=""release_year lighter"">1954</span>"
,,,,"<a href=""/person/al-pacino"">Al Pacino</a>,<a href=""/person/marlon-brando"">Marlon Brando</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_522553""><span class=""blurb blurb_collapsed"">Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are</span><span class=""blurb blurb_expanded"">Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>The Godfather</h1>,,,"<span class=""release_year lighter"">1972</span>"
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Vertigo creates a dizzying web of mistaken identity, passion and murder after an acrophobic detective rescues a mysterious blonde from the bay. (Universal Pictures)</span>
                                </span>
                            </div>",<h1>Vertigo</h1>,,,"<span class=""release_year lighter"">1958</span>"
,,,,"<a href=""/person/bonnie-cross"">Bonnie Cross</a>,<a href=""/person/elijah-smith"">Elijah Smith</a>,<a href=""/person/ellar-coltrane"">Ellar Coltrane</a>,<a href=""/person/ethan-hawke"">Ethan Hawke</a>,<a href=""/person/libby-villari"">Libby Villari</a>,<a href=""/person/lorelei-linklater"">Lorelei Linklater</a>,<a href=""/person/marco-perella"">Marco Perella</a>,<a href=""/person/patricia-arquette"">Patricia Arquette</a>,<a href=""/person/steven-chester-prince"">Steven Chester Prince</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_542176""><span class=""blurb blurb_collapsed"">Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha,</span><span class=""blurb blurb_expanded"">Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, Boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [IFC Films]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Boyhood</h1>,,,"<span class=""release_year lighter"">2014</span>"
,,,,"<a href=""/person/humphrey-bogart"">Humphrey Bogart</a>,<a href=""/person/ingrid-bergman"">Ingrid Bergman</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.</span>
                                </span>
                            </div>",<h1>Casablanca</h1>,,,"<span class=""release_year lighter"">1943</span>"
,,,,"<a href=""/person/alfre-woodard"">Alfre Woodard</a>,<a href=""/person/benedict-cumberbatch"">Benedict Cumberbatch</a>,<a href=""/person/brad-pitt"">Brad Pitt</a>,<a href=""/person/chiwetel-ejiofor"">Chiwetel Ejiofor</a>,<a href=""/person/garret-dillahunt"">Garret Dillahunt</a>,<a href=""/person/michael-fassbender"">Michael Fassbender</a>,<a href=""/person/michael-k-williams"">Michael K. Williams</a>,<a href=""/person/paul-dano"">Paul Dano</a>,<a href=""/person/paul-giamatti"">Paul Giamatti</a>,<a href=""/person/sarah-paulson"">Sarah Paulson</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>In the pre-Civil War United States, Solomon Northup, a free black man living in upstate New York, is abducted and sold into slavery.</span>
                                </span>
                            </div>",<h1>12 Years a Slave</h1>,,,"<span class=""release_year lighter"">2013</span>"
